INSERT INTO User (user_id,name,picture,status,bio,fun_fact) VALUES (1,Shurwood,https://robohash.org/sintadeos.png?size=50x50&set=set1,analyzer,"Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat. Nulla nisl.",Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum.)
INSERT INTO User (user_id,name,picture,status,bio,fun_fact) VALUES (2,Waring,https://robohash.org/nihilsintea.png?size=50x50&set=set1,reciprocal,"Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.","Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.")
INSERT INTO User (user_id,name,picture,status,bio,fun_fact) VALUES (3,Mordecai,https://robohash.org/oditrerumunde.png?size=50x50&set=set1,User-friendly,"Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem. Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus. Pellentesque at nulla. Suspendisse potenti.","In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti. In eleifend quam a odio.")
INSERT INTO User (user_id,name,picture,status,bio,fun_fact) VALUES (4,Normand,https://robohash.org/quiassumendaaccusamus.png?size=50x50&set=set1,Customizable,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem. Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus. Pellentesque at nulla.","Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat. Nulla nisl. Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum. In hac habitasse platea dictumst.")
INSERT INTO User (user_id,name,picture,status,bio,fun_fact) VALUES (5,Domeniga,https://robohash.org/quasiquiased.png?size=50x50&set=set1,regional,"Nunc purus. Phasellus in felis. Donec semper sapien a libero. Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius. Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.","Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.")
INSERT INTO User (user_id,name,picture,status,bio,fun_fact) VALUES (6,Dore,https://robohash.org/rerumfugitaperiam.png?size=50x50&set=set1,discrete,Mauris sit amet eros. Suspendisse accumsan tortor quis turpis. Sed ante.,Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.)
INSERT INTO User (user_id,name,picture,status,bio,fun_fact) VALUES (7,Leslie,https://robohash.org/doloribuslaborerem.png?size=50x50&set=set1,Reverse-engineered,"Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo.","Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat. In congue. Etiam justo. Etiam pretium iaculis justo. In hac habitasse platea dictumst. Etiam faucibus cursus urna.")
INSERT INTO User (user_id,name,picture,status,bio,fun_fact) VALUES (8,Liuka,https://robohash.org/sintreiciendisrerum.png?size=50x50&set=set1,encompassing,Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus. In sagittis dui vel nisl.,"Fusce consequat. Nulla nisl. Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus.")
INSERT INTO User (user_id,name,picture,status,bio,fun_fact) VALUES (9,Daffy,https://robohash.org/istenonfugiat.png?size=50x50&set=set1,Face to face,"Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est. Phasellus sit amet erat. Nulla tempus.",Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum.)
INSERT INTO User (user_id,name,picture,status,bio,fun_fact) VALUES (10,Cherianne,https://robohash.org/voluptatemconsequaturoptio.png?size=50x50&set=set1,3rd generation,"Nulla tellus. In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem.",Suspendisse potenti.)
